team,Pos,kills_per_set,blocks_per_set,reception
Park- Gilbert,OPP,9,0,0
Park- Gilbert,OH,24,48,0
Park- Gilbert,OPP,#VALUE!,#VALUE!,#VALUE!
Park- Gilbert,S,1,0,0
Park- Gilbert,L,0,0,51
Park- Gilbert,OPP,20,14,0
Park- Gilbert,MB,#VALUE!,#VALUE!,#VALUE!
Park- Gilbert,S,#VALUE!,#VALUE!,#VALUE!
Park- Gilbert,S,0,0,0
Park- Gilbert,OH/OPP,34,27,16
Park- Gilbert,OPP,20,0,0
Park- Gilbert,OPP/OH,#VALUE!,#VALUE!,#VALUE!
Park- Gilbert,OH,0,10,0
Park- Gilbert,OH,4,2,28
Park- Gilbert,OH,#VALUE!,#VALUE!,#VALUE!
Park- Gilbert,MB,29,48,0
Park- Gilbert,OPP,40,21,0
Park- Gilbert,LB,#VALUE!,#VALUE!,#VALUE!
Park- Gilbert,MB,#VALUE!,#VALUE!,#VALUE!
Park- Gilbert,MB,#VALUE!,#VALUE!,#VALUE!
Park- Gilbert,OPP,#VALUE!,#VALUE!,#VALUE!
Park- Gilbert,OH,47,28,75
Paul Quinn,DS-LB,2,0,34
Paul Quinn,S,6,9,1
Paul Quinn,RS-MB,4,10,0
Paul Quinn,DS-LB,1,4,5
Paul Quinn,S,0,12,25
Paul Quinn,MB-OH-RSH,27,53,3
Paul Quinn,OH-DS,47,23,1
Paul Quinn,S,0,0,5
Paul Quinn,RS-MB,2,20,0
Paul Quinn,S,0,10,0
Paul Quinn,S,12,25,6
Paul Quinn,MB,3,35,0
Paul Quinn,RS-OH,37,74,2
Paul Quinn,OH,39,28,4
Peru State,MB,11,9,0
Peru State,DS,0,0,51
Peru State,OH,24,22,6
Peru State,RS,0,23,0
Peru State,OH,30,7,6
Peru State,DS,0,0,0
Peru State,RS,22,15,0
Peru State,S,2,2,0
Peru State,RS,12,0,0
Peru State,OH,#VALUE!,#VALUE!,#VALUE!
Peru State,OH/RS,6,0,0
Peru State,MB,0,0,0
Peru State,MB,29,29,0
Peru State,S/RS,0,0,0
Peru State,OH,0,0,0
Peru State,DS,#VALUE!,#VALUE!,#VALUE!
Peru State,DS,0,0,9
Peru State,MB,0,0,0
Peru State,S,0,0,0
Peru State,S,0,0,0
Peru State,OH,39,17,29
Peru State,MB,0,0,0
Peru State,DS,1,0,32
Peru State,DS,0,0,0
Peru State,DS,0,0,39
Peru State,S,38,5,1
Peru State,OH,47,10,29
Peru State,RS,16,14,0
Pikeville,DS,0,2,29
Pikeville,DS,28,7,8
Pikeville,OH,29,36,0
Pikeville,MH,22,44,0
Pikeville,DS,0,0,52
Pikeville,DS,0,0,0
Pikeville,OH,0,0,0
Pikeville,DS,0,23,0
Pikeville,RS,24,15,2
Pikeville,MH,22,52,2
Pikeville,DS,0,0,0
Pikeville,DS,4,0,1
Pikeville,RS,19,15,1
Pikeville,RS,13,6,12
Pikeville,RS,4,0,0
Pikeville,OH,28,8,8
Pikeville,DS,0,0,21
Pikeville,DS,3,0,45
Pikeville,DS,0,0,0
Pikeville,DS,#VALUE!,#VALUE!,#VALUE!
Point,L/DS,1,0,56
Point,MB,39,46,0
Point,DS/L,0,0,0
Point,OH,42,23,3
Point,OH,9,0,0
Point,RS,4,0,1
Point,OH/DS,36,29,0
Point,DS/L,37,23,1
Point,MB,26,4,40
Point,RS/OH,0,0,17
Point,OH,14,41,0
Point,S,9,5,0
Point,DS,4,0,32
Point,OH,58,15,15
Point,OH/MB,1,0,0
Point Park,S,1,0,0
Point Park,DS,0,0,3
Point Park,MH,35,74,1
Point Park,DS,0,0,7
Point Park,RS,36,31,0
Point Park,S,7,10,0
Point Park,DS,1,0,50
Point Park,DS,0,0,0
Point Park,DS,0,0,33
Point Park,OH,48,22,11
Point Park,OH,17,24,0
Point Park,DS,0,0,13
Point Park,OH,62,22,11
Point Park,OH,0,0,0
Point Park,OH,80,28,44
Point Park,MH,0,0,0
Point Park,DS,0,48,0
Point Park,S,2,7,0
Point Park,MH,19,43,1
Presentation,S,33,17,28
Presentation,DS,0,0,45
Presentation,OH,0,0,0
Presentation,DS,0,0,0
Presentation,DS,0,0,45
Presentation,MH,8,40,0
Presentation,RS,#VALUE!,#VALUE!,#VALUE!
Presentation,RS,22,29,1
Presentation,OH,81,30,68
Presentation,MH,50,81,0
Presentation,S,0,2,0
Presentation,OH,40,37,20
Presentation,OH,#VALUE!,#VALUE!,#VALUE!
Presentation,S,2,0,0
Presentation,OH,0,0,1
Presentation,MH,9,14,0
Providence (Mont.),DS/L,0,0,65
Providence (Mont.),S/DS,0,0,22
Providence (Mont.),S,2,27,1
Providence (Mont.),S,1,2,0
Providence (Mont.),OH,17,8,1
Providence (Mont.),OH,56,33,57
Providence (Mont.),RS,3,0,0
Providence (Mont.),OH/RS,29,20,18
Providence (Mont.),RS,32,32,0
Providence (Mont.),MB,36,84,0
Providence (Mont.),OH/RS,0,0,0
Providence (Mont.),RS,14,20,0
Providence (Mont.),DS,6,0,0
Providence (Mont.),RS,0,0,0
Providence (Mont.),MB,0,0,0
Providence (Mont.),OH,8,79,0
Providence (Mont.),MB,17,31,0
Providence (Mont.),OH,30,35,1
Providence (Mont.),DS,1,0,0
Providence (Mont.),OH,32,8,50
Providence (Mont.),S,0,0,0
Providence (Mont.),DS,0,0,0
Providence (Mont.),S,0,0,0
Providence (Mont.),DS,0,0,0
Providence Christian,OH,0,0,4
Providence Christian,OH,40,10,5
Providence Christian,MB,13,0,0
Providence Christian,MB/OH,54,51,0
Providence Christian,OPP,2,0,2
Providence Christian,OH,17,10,3
Providence Christian,MB,25,30,0
Providence Christian,S,0,0,0
Providence Christian,S,0,0,0
Providence Christian,OH,#VALUE!,#VALUE!,#VALUE!
Providence Christian,RS,8,10,0
Providence Christian,MB,20,48,0
Reinhardt,S,#VALUE!,#VALUE!,#VALUE!
Reinhardt,OH,14,0,0
Reinhardt,OH,0,0,0
Reinhardt,L/DS,0,0,43
Reinhardt,MH,25,36,1
Reinhardt,OH,43,22,5
Reinhardt,DS,1,0,71
Reinhardt,S,2,0,0
Reinhardt,DS,0,0,7
Reinhardt,MB,21,28,0
Reinhardt,OH,1,1,4
Reinhardt,S,24,27,1
Reinhardt,RS,48,32,0
Reinhardt,RH,#VALUE!,#VALUE!,#VALUE!
Reinhardt,MH,33,65,0
Reinhardt,DS,#VALUE!,#VALUE!,#VALUE!
Reinhardt,MB,16,0,0
Reinhardt,OH/RS,51,17,22
Reinhardt,DS,#VALUE!,#VALUE!,#VALUE!
Reinhardt,DS,0,0,0
Reinhardt,OH,12,19,0
Reinhardt,MH,26,55,0
Reinhardt,DS,0,0,54
Reinhardt,S,1,0,0
Reinhardt,OH,5,1,5
Rio Grande,OH/RS,0,0,33
Rio Grande,OPP,2,23,0
Rochester,Libero,1,0,69
Rochester,MB,24,33,49
Rochester,S,30,12,24
Rochester,OH,3,7,1
Rochester,MB,1,0,21
Rochester,DS,4,0,0
Rochester,MH,1,0,0
Rochester,OH,4,0,0
Rocky Mountain,LB,0,0,47
Rocky Mountain,S,6,10,1
Rocky Mountain,RS,49,27,25
Rocky Mountain,DS,0,0,0
Rocky Mountain,DS,0,0,40
Rocky Mountain,OH,55,25,34
Rocky Mountain,S,0,0,4
Rocky Mountain,MB,0,0,0
Rocky Mountain,OH,4,0,0
Rocky Mountain,OH,40,57,1
Rocky Mountain,OH,0,0,0
Rocky Mountain,S,2,0,0
Rocky Mountain,MB,40,38,0
Rocky Mountain,DS,0,0,0
Rocky Mountain,DS,0,0,49
Rocky Mountain,MB,0,0,0
Rocky Mountain,OH,3,1,26
Rocky Mountain,MB,43,78,1
Rocky Mountain,S,0,0,0
Rocky Mountain,MB,20,71,0
Roosevelt,MB,26,51,1
Roosevelt,OH,49,21,51
Roosevelt,OH,1,3,0
Roosevelt,MB,17,40,1
Roosevelt,OH,34,18,37
Roosevelt,Mb,25,48,0
Roosevelt,OH,21,11,4
Roosevelt,OPP,28,30,9
Roosevelt,DS,0,0,1
Roosevelt,S,35,23,2
Roosevelt,DS,0,0,2
Roosevelt,S,0,0,12
Roosevelt,OPP,6,23,0
Roosevelt,OH,0,0,40
Roosevelt,DS,0,0,36
Roosevelt,S,0,0,0
Rust,DS,0,0,2
Rust,OH,55,20,23
Rust,OH,6,5,9
Rust,OH,0,0,0
Rust,S,1,0,0
Rust,DS,1,4,28
Rust,OH,10,14,0
Rust,S,2,20,0
Rust,MB,31,9,0
Rust,MB,8,2,1
SAGU,DS,1,0,36
SAGU,DS,0,0,0
SAGU,Setter,16,36,0
SAGU,OH,65,31,24
SAGU,OPP,39,20,0
SAGU,Setter,0,0,0
SAGU,OPP,2,10,0
SAGU,L,0,0,33
SAGU,MH,60,77,1
SAGU,MH,18,48,0
SAGU,MH,26,56,0
SAGU,DS,1,0,2
SAGU,DS,0,0,1
SAGU,OH,40,19,16
SAGU,DS,0,0,21
SAGU,Setter,0,0,40
SAGU,OPP,5,0,0
SAGU,MH,30,65,0
Saint Francis (Ind.),DS/L,4,0,0
Saint Francis (Ind.),MH,13,11,12
Saint Francis (Ind.),OH,0,0,50
Saint Katherine,OH,18,14,4
Saint Katherine,L,0,0,4
Saint Katherine,S,0,0,0
Saint Katherine,OH,70,30,21
Saint Katherine,L,36,19,68
Saint Katherine,L,1,0,64
Saint Katherine,L,0,0,12
Saint Katherine,OH,9,8,0
Saint Katherine,MB,16,59,0
Saint Katherine,S,0,1,0
Saint Katherine,OH,0,12,1
Saint Katherine,MB,32,71,1
Saint Katherine,OH,50,55,0
Saint Katherine,MB,14,56,0
Saint Katherine,OH,29,17,0
Saint Katherine,OH,21,28,2
Saint Katherine,S,0,0,0
Saint Katherine,DS,0,0,0
Saint Katherine,S,0,0,44
Saint Mary,OH,26,30,7
Saint Mary,S,0,0,0
Saint Mary,DS,0,0,44
Saint Mary,OH/ M,39,52,0
Saint Mary,OH,44,19,17
Saint Mary,S,0,2,0
Saint Mary,RS/ OH,52,14,11
Saint Mary,OH/ S,0,0,0
Saint Mary,M,#VALUE!,#VALUE!,#VALUE!
Saint Mary,RS,0,15,0
Saint Mary,DS,1,0,6
Saint Mary,OH,19,24,0
Saint Mary,M,20,36,0
Saint Mary,OH,54,27,28
Saint Mary,OH,20,0,1
Saint Mary,DS,0,0,10
Saint Mary,DS/ S,0,0,54
Saint Mary,S,2,0,0
Saint Mary,M,30,35,1
Saint Mary,S,1,4,0
Saint Mary,S,1,0,0
Saint Mary,OH,1,0,34
Saint Mary,OH,#VALUE!,#VALUE!,#VALUE!
Saint Mary,M,#VALUE!,#VALUE!,#VALUE!
Saint Mary,RS,0,0,0
Saint Mary,OH,0,0,0
Saint Mary,OH,17,5,5
Saint Mary,S,0,0,0
Saint Mary,S,0,0,0
Saint Mary,DS,0,0,1
Saint Xavier,OH,78,15,63
Saint Xavier,S,1,0,3
Saint Xavier,OH,2,0,1
Saint Xavier,OH,0,0,0
Saint Xavier,MB,37,43,5
Saint Xavier,DS,31,11,64
Saint Xavier,OH,0,0,0
Saint Xavier,MB,48,47,5
Saint Xavier,MB,17,23,0
Saint Xavier,S,9,11,2
Saint Xavier,OH,51,35,2
Saint Xavier,S,2,4,1
Saint Xavier,S,0,0,0
Saint Xavier,MB,10,16,0
Saint Xavier,RS,21,3,1
Saint Xavier,LB,0,0,47
San Diego Christian,LB,#VALUE!,#VALUE!,#VALUE!
Science and Arts,OH,6,4,7
Science and Arts,DS,0,0,13
Science and Arts,DS,0,0,47
Science and Arts,S,2,4,0
Science and Arts,OH,24,7,17
Science and Arts,DS,0,0,29
Science and Arts,MB,20,57,0
Science and Arts,DS,0,0,5
Science and Arts,MB,25,34,4
Science and Arts,OH,59,23,50
Science and Arts,MB,22,41,0
Science and Arts,S,0,0,0
Science and Arts,MB,10,0,0
Science and Arts,RS,35,41,2
Shawnee State,S,1,0,0
Shawnee State,RS,30,66,0
Shawnee State,DS,0,0,0
Shawnee State,OH / DS,0,0,33
Shawnee State,S,0,0,0
Shawnee State,DS,1,0,25
Shawnee State,OH,11,0,0
Shawnee State,DS,73,25,33
Shawnee State,OH,1,0,35
Shawnee State,OH,31,26,9
Shawnee State,OH,16,25,0
Shawnee State,MH,35,33,1
Shawnee State,S,24,35,0
Shawnee State,MH,0,0,0
Shawnee State,S,36,55,1
Shawnee State,MH,1,0,0
Shawnee State,DS,20,37,0
Siena Heights,OH,#VALUE!,#VALUE!,#VALUE!
Siena Heights,OH,2,0,32
Siena Heights,S,0,0,0
Siena Heights,OH,8,10,0
Siena Heights,OH,42,25,41
Siena Heights,OH,60,21,69
Siena Heights,MB,50,84,2
Siena Heights,MB,11,20,0
Siena Heights,L,0,0,3
Siena Heights,RS,12,35,0
Siena Heights,S,18,33,0
Siena Heights,MB,43,50,1
Siena Heights,16,10,23,0
Siena Heights,DS/L,1,0,51
Siena Heights,OH,31,25,9
Siena Heights,OH,13,7,1
Siena Heights,MB,16,14,0
Siena Heights,S,0,0,0
Simpson,OH,55,15,25
Simpson,S,0,0,0
Simpson,S,1,1,0
Simpson,LB,0,0,2
Simpson,OH,5,10,0
Simpson,MH,9,43,0
Simpson,LB,0,0,21
Simpson,OH,29,29,2
Simpson,OH,38,30,2
Simpson,OH,2,0,3
Simpson,OH,32,13,47
Simpson,S,0,0,0
Simpson,MH,2,10,0
Simpson,S,0,3,0
Simpson,RS,34,30,40
Simpson,MH,#VALUE!,#VALUE!,#VALUE!
Simpson,OH,1,0,2
Southeastern,MB,32,46,3
Southeastern,RS,53,22,62
Southeastern,OH,42,10,22
Southeastern,S,1,0,0
Southeastern,DS,0,0,49
Southeastern,RS,27,34,2
Southeastern,S,1,0,0
Southeastern,RS,44,27,2
Southeastern,S,4,0,0
Southeastern,OH,#VALUE!,#VALUE!,#VALUE!
Southeastern,RS,55,19,0
Southeastern,MB,12,25,0
Southeastern,RS,5,5,0
Southeastern,DS,0,0,7
Southeastern,OH,29,12,5
Southeastern,DS,5,6,22
Southeastern,MB,0,0,0
Southeastern,DS,#VALUE!,#VALUE!,#VALUE!
Southern Oregon,DS,0,0,62
Southern Oregon,DS,0,0,27
Southern Oregon,OH,33,41,4
Southern Oregon,RS,36,31,0
Southern Oregon,MB,33,88,0
Southern Oregon,MB,3,16,0
Southern Oregon,OH,64,18,31
Southern Oregon,S,1,0,0
Southern Oregon,S,0,0,0
Southern Oregon,MB,26,69,0
Southern Oregon,MB,8,30,0
Southern Oregon,S,6,7,0
Southern Oregon,DS,0,0,37
Southern Oregon,OH,20,33,2
Southern Oregon,OH,39,40,0
Southern Oregon,OH,65,30,13
Southwest,DS,0,2,11
Southwest,OH,46,11,17
Southwest,MB,0,0,0
Southwest,DS,5,1,21
Southwest,Opp,20,25,0
Southwest,MB,23,25,1
Southwest,S,1,2,0
Southwest,MB,13,28,0
Southwest,DS,6,0,0
Southwest,DS,0,0,37
Southwest,S,3,0,0
Southwest,OH,60,9,15
Southwest,S,16,9,1
Southwest,DS,0,0,5
Southwestern,S,1,0,0
Southwestern,DS/L,6,0,59
Southwestern,DS/L,0,0,22
Southwestern,S,2,0,0
Southwestern,MB/OH,0,0,0
Southwestern,DS/S,3,0,1
Southwestern,DS,#VALUE!,#VALUE!,#VALUE!
Southwestern,MB/OH,40,46,0
Southwestern,OH,31,17,5
Southwestern,DS,0,0,0
Southwestern,OH,20,5,1
Southwestern,OH/RS,25,10,6
Southwestern,OH/DS,13,2,28
Southwestern,OH/RS,32,23,0
Southwestern,DS,0,0,0
Southwestern,MB/OH,26,42,0
Southwestern,OH/RS,#VALUE!,#VALUE!,#VALUE!
Southwestern,S,15,22,0
Southwestern,MB,18,7,0
Southwestern,OH/DS,42,34,50
Southwestern,S/RS,34,10,0
Southwestern Christian,MB/OH,29,38,1
Southwestern Christian,MB/OH,27,46,6
Southwestern Christian,OH/DS,0,0,48
Southwestern Christian,OH/DS,52,12,59
Southwestern Christian,Libero,0,0,32
Southwestern Christian,OPP/OH,33,14,17
Southwestern Christian,Libero/DS,0,0,13
Southwestern Christian,OH/DS,4,0,1
Southwestern Christian,RS/DS,6,0,0
Southwestern Christian,OPP/DS,13,14,10
Southwestern Christian,OH/DS,57,24,4
Southwestern Christian,S,18,15,0
Southwestern Christian,S,4,0,0
Southwestern Christian,OPP/MB,2,0,0
Southwestern Christian,S,4,7,5
Spring Arbor,DS,0,0,14
Spring Arbor,S,32,17,0
Spring Arbor,OH,31,8,18
Spring Arbor,S,4,0,0
Spring Arbor,MB,17,29,0
Spring Arbor,OH,48,38,0
Spring Arbor,LB,1,0,58
Spring Arbor,DS,0,0,43
Spring Arbor,DS,1,0,5
Spring Arbor,OH,27,18,9
Spring Arbor,MB,30,51,0
Spring Arbor,OH,12,5,4
Spring Arbor,DS,1,0,5
Spring Arbor,S,0,0,0
Spring Arbor,OH,54,21,43
Spring Arbor,RS,3,33,0
St. Ambrose,DS,0,0,60
St. Ambrose,OH,3,0,0
St. Ambrose,DS,0,0,5
St. Ambrose,OH,55,23,47
St. Ambrose,S,2,0,0
St. Ambrose,OH,71,28,43
St. Ambrose,MH,33,69,0
St. Ambrose,MH,0,0,0
St. Ambrose,DS,0,0,11
St. Ambrose,OH,16,9,13
St. Ambrose,MH,26,35,0
St. Ambrose,S,1,0,0
St. Ambrose,MH,0,0,0
St. Ambrose,MH,13,25,0
St. Ambrose,OH,54,33,15
St. Ambrose,OH,20,23,0
St. Ambrose,DS,0,0,18
St. Ambrose,OH,#VALUE!,#VALUE!,#VALUE!
St. Ambrose,MH,27,43,0
St. Ambrose,S,8,10,0
St. Ambrose,MH,25,77,0
St. Andrews,S,0,0,0
St. Andrews,OH,15,5,9
St. Andrews,S,4,0,0
St. Andrews,RS,42,28,1
St. Andrews,OH,22,8,3
St. Andrews,OH,12,12,4
St. Andrews,S,28,23,1
St. Andrews,L/DS,0,0,6
St. Andrews,DS,0,0,55
St. Andrews,OH/DS,52,29,86
St. Andrews,MB,25,66,0
St. Andrews,MB,25,37,1
St. Andrews,DS,2,0,62
St. Andrews,MB,6,31,0
St. Andrews,OH/RS,8,0,0
St. Francis (Ill.),DS,0,0,34
St. Francis (Ill.),OH,51,25,99
St. Francis (Ill.),S,1,0,1
St. Francis (Ill.),OH,11,11,4
St. Francis (Ill.),S,2,4,0
St. Francis (Ill.),DS,1,0,0
St. Francis (Ill.),OH,0,0,0
St. Francis (Ill.),RS/MH,23,33,1
St. Francis (Ill.),RS/OH,28,17,1
St. Francis (Ill.),S/RS,6,2,1
St. Francis (Ill.),MH,5,12,0
St. Francis (Ill.),MH/RS,16,45,0
St. Francis (Ill.),S,4,0,0
St. Francis (Ill.),MH,32,60,3
St. Francis (Ill.),DS/OH,2,0,73
St. Francis (Ill.),OH,50,32,41
St. Mary-Woods,L,4,0,0
St. Mary-Woods,DS,0,0,68
St. Mary-Woods,OH,68,28,22
St. Mary-Woods,L,3,1,17
St. Mary-Woods,OH,42,14,22
St. Mary-Woods,DS,0,0,25
St. Mary-Woods,DS,0,0,0
St. Mary-Woods,RS,0,0,0
St. Mary-Woods,MH,17,58,0
St. Mary-Woods,MH,25,32,0
St. Mary-Woods,OH,13,41,0
St. Mary-Woods,MH,5,12,0
St. Mary-Woods,S,4,0,0
St. Mary-Woods,RS,26,33,1
St. Mary-Woods,S,4,1,0
St. Mary-Woods,OH,32,6,13
St. Mary-Woods,L,41,29,2
St. Mary-Woods,DS,0,0,4
St. Mary-Woods,L,20,0,0
St. Mary-Woods,DS,40,0,0
St. Mary-Woods,DS,0,2,8
St. Mary-Woods,DS,0,0,4
St. Mary-Woods,DS,#VALUE!,#VALUE!,#VALUE!
St. Mary-Woods,OH,32,0,0
St. Mary-Woods,S,#VALUE!,#VALUE!,#VALUE!
St. Mary-Woods,S,8,2,0
St. Mary-Woods,S,#VALUE!,#VALUE!,#VALUE!
St. Mary-Woods,MH,3,0,0
St. Mary-Woods,RS,24,54,0
St. Thomas,LB,1,0,37
St. Thomas,RS,49,39,0
St. Thomas,MB,32,48,0
St. Thomas,MB,35,58,0
St. Thomas,OH,37,20,11
St. Thomas,OH,67,19,30
St. Thomas,MB,34,58,0
St. Thomas,OH,5,2,33
St. Thomas,LB,0,0,1
St. Thomas,LB,0,0,0
St. Thomas,S,0,0,0
St. Thomas,S,1,4,0
St. Thomas,LB,#VALUE!,#VALUE!,#VALUE!
St. Thomas,OH,27,18,0
St. Thomas,LB,0,0,7
St. Thomas,S,#VALUE!,#VALUE!,#VALUE!
St. Thomas,RS,30,23,0
St. Thomas,S,0,0,0
St. Thomas,LB,0,0,3
Stephens,RS,25,7,0
Stephens,OH,45,7,38
Stephens,MB,37,41,1
Stephens,OH,60,15,48
Stephens,S,1,0,0
Stephens,S,12,15,0
Stephens,DS,1,1,72
Stephens,DS,5,0,0
Stephens,DS,2,0,0
Stephens,S,7,2,2
Stephens,MH/RS,5,10,0
Stephens,DS,0,0,41
Stephens,MB,50,43,5
Stephens,S,0,0,0
Sterling,MH,9,20,1
Sterling,DS,2,0,44
Sterling,OH,0,0,0
Sterling,S,2,0,0
Sterling,S,0,0,38
Sterling,DS,1,0,41
Sterling,DS,0,0,0
Sterling,OH,29,35,7
Sterling,DS,0,0,0
Sterling,DS,0,0,0
Sterling,DS,10,0,0
Sterling,OH,61,23,0
Sterling,S,1,0,0
Sterling,OH,22,12,10
Sterling,OH,4,0,2
Sterling,DS,0,0,0
Sterling,DS,19,59,7
Sterling,OH,0,0,0
Sterling,S,2,6,0
Sterling,OH,23,27,22
Sterling,MH,44,49,13
Sterling,DS,0,0,0
Stillman,S/DS,7,4,9
Stillman,OH/S,9,5,12
Stillman,S,5,15,11
Stillman,MB/OH,9,5,2
Stillman,MB/OH,20,24,12
Stillman,L/DS,1,0,5
Stillman,OH/MB,0,0,10
Stillman,DS,9,12,9
Stillman,OH/MB,6,0,0
Stillman,DS,0,0,0
Stillman,DS,0,0,0
Stillman,OH,8,14,2
Stillman,S,1,0,26
Stillman,OH,0,2,9
Tabor,OH,43,15,10
Tabor,S,13,16,1
Tabor,OH,52,7,33
Tabor,DS,0,0,1
Tabor,S,0,0,0
Tabor,S,1,5,0
Tabor,RS,16,25,2
Tabor,DS,1,0,52
Tabor,DS,2,0,38
Tabor,RS,44,28,0
Tabor,MB,29,34,0
Tabor,S,23,5,1
Tabor,MB,10,30,0
Tabor,OH,65,15,54
Tabor,DS,1,0,18
Tabor,OH,31,16,8
Tabor,S,#VALUE!,#VALUE!,#VALUE!
Talladega,OH,61,12,27
Talladega,OH/RS,47,25,11
Talladega,OH/DS,6,0,9
Talladega,S/DS,0,0,6
Talladega,S,5,3,1
Talladega,OH,29,14,16
Talladega,RS/OH,13,12,3
Talladega,RS,16,22,9
Talladega,DS/L,1,0,52
Talladega,S,5,2,0
Talladega,MB,33,58,1
Talladega,MB,32,38,0
Talladega,DS,1,0,21
Talladega,MB/RS,16,15,1
Taylor,DS,3,0,12
Taylor,RS,0,0,0
Taylor,OH,50,18,0
Taylor,OH,#VALUE!,#VALUE!,#VALUE!
Taylor,OH,#VALUE!,#VALUE!,#VALUE!
Taylor,OH,57,47,27
Taylor,DS,1,0,7
Taylor,MH,37,48,1
Taylor,OH,28,6,0
Taylor,S,0,0,0
Taylor,DS,0,0,23
Taylor,S,10,0,0
Taylor,MH,24,64,0
Taylor,DS,1,0,21
Taylor,RS,74,39,1
Taylor,OH,0,0,0
Taylor,MH,28,94,0
Taylor,S,18,38,0
Taylor,L,0,0,9
Tennessee Southern,DS,0,0,41
Tennessee Southern,S,0,0,5
Tennessee Southern,OH,47,20,41
Tennessee Southern,DS,0,0,62
Tennessee Southern,OH,50,13,29
Tennessee Southern,OH/RS,30,62,2
Tennessee Southern,MB,23,33,0
Tennessee Southern,RS/MB,13,8,0
Tennessee Southern,OH,64,46,19
Tennessee Southern,S,24,13,0
Tennessee Southern,S,7,16,1
Tennessee Southern,MB,1,0,0
Tennessee Southern,DS,17,20,2
Tennessee Wesleyan,DS,0,0,8
Tennessee Wesleyan,DS,3,0,4
Tennessee Wesleyan,DS/L,0,0,53
Tennessee Wesleyan,MH,16,44,0
Tennessee Wesleyan,DS,0,0,22
Tennessee Wesleyan,OH/RS,20,17,4
Tennessee Wesleyan,OH/RS,49,15,41
Tennessee Wesleyan,S,0,0,1
Tennessee Wesleyan,OH/RS,29,15,22
Tennessee Wesleyan,S,5,0,0
Tennessee Wesleyan,S,0,0,0
Tennessee Wesleyan,MH,22,30,0
Tennessee Wesleyan,OH,28,14,29
Tennessee Wesleyan,DS,0,0,2
Tennessee Wesleyan,S,4,0,0
Tennessee Wesleyan,DS,0,0,39
Tennessee Wesleyan,MH,11,21,0
Texas Wesleyan,MB,30,71,1
Texas Wesleyan,OH/DS,4,1,40
Texas Wesleyan,MB,24,48,0
Texas Wesleyan,RS,4,0,0
Texas Wesleyan,S,0,0,0
Texas Wesleyan,DS,1,0,44
Texas Wesleyan,DS,1,0,15
Texas Wesleyan,RS/MB,27,30,0
Texas Wesleyan,MB/RS,11,32,1
Texas Wesleyan,S,6,7,1
Texas Wesleyan,S,1,0,0
Texas Wesleyan,RS,48,38,0
Texas Wesleyan,OH/DS,0,1,44
Texas Wesleyan,OH,51,24,5
Texas Wesleyan,OH,39,10,5
Texas Wesleyan,OH,48,15,1
Texas Wesleyan,MB/RS,34,23,0
Texas Wesleyan,MB/OH,38,52,0
The Master's,OP,28,49,0
The Master's,MB,49,36,64
The Master's,LB,0,0,42
The Master's,OP,0,0,5
The Master's,L/DS,0,0,2
The Master's,MB,22,38,0
The Master's,OH,0,0,0
The Master's,MB,40,64,1
The Master's,MB,32,70,0
The Master's,OP,4,14,0
The Master's,DS,0,0,3
The Master's,S,1,0,0
The Master's,MB/OH,11,5,1
The Master's,OH,54,20,67
The Master's,OP,2,2,0
The Master's,S,3,7,0
Thomas More,DS,0,0,48
Thomas More,DS,0,0,0
Thomas More,MB,10,0,0
Thomas More,MH,46,70,0
Thomas More,MB,18,0,0
Thomas More,DS,2,2,26
Thomas More,OH,28,18,5
Thomas More,OH,47,46,0
Thomas More,DS,1,0,38
Thomas More,S/RS,0,0,0
Thomas More,MB/OH,47,18,3
Thomas More,DS/S/RS,0,0,10
Thomas More,DS,0,0,0
Thomas More,N/A,0,0,0
Thomas More,MB/RS,0,0,0
Thomas More,RS,48,28,2
Thomas More,S,11,25,1
Thomas More,N/A,0,0,0
Thomas More,N/A,#VALUE!,#VALUE!,#VALUE!
Thomas More,N/A,27,17,0
Thomas More,DS,0,0,30
Thomas More,N/A,50,28,4
Thomas More,N/A,28,14,0
Thomas More,N/A,100,0,0
Thomas More,N/A,#VALUE!,#VALUE!,#VALUE!
Tougaloo,MB,16,23,0
Tougaloo,OH,56,18,20
Tougaloo,S/RS,15,13,3
Tougaloo,RS/MB,4,0,0
Tougaloo,L/DS,0,0,56
Tougaloo,RS/MB,20,17,15
Tougaloo,RS/OH,13,9,19
Tougaloo,DS/L,2,0,12
Tougaloo,DS/S/L,8,0,51
Tougaloo,OH,17,13,6
Tougaloo,MB,18,25,1
Tougaloo,DS/RS,2,0,31
Trinity Christian,DS,0,0,61
Trinity Christian,DS,0,0,31
Trinity Christian,S/DS,5,0,0
Trinity Christian,L/DS,0,0,31
Trinity Christian,S,8,10,0
Trinity Christian,MB,19,22,1
Trinity Christian,OH/OPP,10,20,2
Trinity Christian,MB,38,12,75
Trinity International,OH,54,12,82
Trinity International,RS,27,25,1
Trinity International,DS,0,0,55
Trinity International,DS,0,0,1
Trinity International,DS,2,0,0
Trinity International,MB,29,19,3
Trinity International,MB,#VALUE!,#VALUE!,#VALUE!
Trinity International,MB,#VALUE!,#VALUE!,#VALUE!
Trinity International,S,0,0,0
Trinity International,OH,13,20,4
Trinity International,S,4,3,0
Trinity International,S,0,0,0
Trinity International,DS,0,0,6
